,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
247,FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",JURONG WEST,CO-ED SCHOOL,SECONDARY
248,MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,MARSILING MRT,"913, 911",WOODLANDS,CO-ED SCHOOL,SECONDARY
249,WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,WOODLANDS MRT,"900, 901",WOODLANDS,CO-ED SCHOOL,SECONDARY
250,ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741,JELAPANG LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY
251,REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621,"YEW TEE MRT, CHOA CHU KANG MRT","307, 301, 302, 160, 170, 178, 925, 927, 960, 983, 961, 979M",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
252,KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",CLEMENTI,CO-ED SCHOOL,SECONDARY
253,WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25,648350,BOON LAY MRT,"172, 181, 185, 199, 974",JURONG WEST,CO-ED SCHOOL,SECONDARY
254,CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",SEMBAWANG,CO-ED SCHOOL,SECONDARY
255,COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT","27,  82,  83,  86,  88,  89, 89E, 136,  161, 371, 965",SENG KANG,CO-ED SCHOOL,SECONDARY
256,EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,WOODLANDS MRT,911,WOODLANDS,CO-ED SCHOOL,SECONDARY
257,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,Newton MRT Station,"5, 54 , 124 , 128 , 143 ,162 , 162M , 167 , 171 , 700 and 700A.",CENTRAL,BOYS' SCHOOL,PRIMARY
