,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
237,TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,"PAYA LEBAR MRT, DAKOTA MRT","10, 16, 31, 32, 33, 40, 76, 135, 197",MARINE PARADE,CO-ED SCHOOL,SECONDARY,"1.30858337448723,103.89733012086799"
238,WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,ADMIRALTY MRT,912,WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.4361136784037398,103.800520528487"
239,ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,KHATIB MRT,811,YISHUN,CO-ED SCHOOL,SECONDARY,"1.4148881871444101,103.838334919821"
240,SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,SEMBAWANG MRT,"859, 962",SEMBAWANG,CO-ED SCHOOL,SECONDARY,"1.4453150213138997,103.816843258118"
241,SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,"SENGKANG MRT, RANGGUNG LRT","27, 80, 85, 86, 87, 89, 89E, 163, 163M, 372",SENG KANG,CO-ED SCHOOL,SECONDARY,"1.3865212913484999,103.89836554923599"
242,JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,TAMPINES MRT,"69, 291, 293",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.35334124083264,103.933411373045"
243,EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.3567582997105199,103.961104820719"
244,UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,YEW TEE MRT,307,CHOA CHU KANG,CO-ED SCHOOL,SECONDARY,"1.3996424682664201,103.746036144935"
245,NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",YISHUN,CO-ED SCHOOL,SECONDARY,"1.42088102487939,103.84506025443198"
246,PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,PASIR RIS MRT,"358, 17, 81, 12, 3",PASIR RIS,CO-ED SCHOOL,SECONDARY,"1.3723439082499498,103.95936257892299"
247,FUHUA SECONDARY SCHOOL,5 JURONG WEST STREET 41,649410,"CHINESE GARDEN MRT, LAKESIDE MRT","49, 98, 99, 157, 180, 185, 187, 198, 334, 335, 502, 657",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.34687989714199,103.726759673876"
248,MARSILING SECONDARY SCHOOL,12 MARSILING ROAD,739110,MARSILING MRT,"913, 911",WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.43664424769957,103.77600809045401"
249,WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6,738990,WOODLANDS MRT,"900, 901",WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.4286283148565901,103.79630400484001"
250,ZHENGHUA SECONDARY SCHOOL,91 SENJA ROAD,677741,JELAPANG LRT,"920, 922",BUKIT PANJANG,CO-ED SCHOOL,SECONDARY,"1.38819702290615,103.765252306514"
251,REGENT SECONDARY SCHOOL,50 CHOA CHU KANG NORTH 5,689621,"YEW TEE MRT, CHOA CHU KANG MRT","307, 301, 302, 160, 170, 178, 925, 927, 960, 983, 961, 979M",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY,"1.3930940818271202,103.75068555327101"
252,KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",CLEMENTI,CO-ED SCHOOL,SECONDARY,"1.3013528870229198,103.764927513408"
253,WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25,648350,BOON LAY MRT,"172, 181, 185, 199, 974",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.35352613540022,103.701604293889"
254,CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",SEMBAWANG,CO-ED SCHOOL,SECONDARY,"1.4532797110912201,103.814470689411"
255,COMPASSVALE SECONDARY SCHOOL,51 COMPASSVALE CRESCENT,545083,"SENGKANG MRT, COMPASSVALE LRT","27,  82,  83,  86,  88,  89, 89E, 136,  161, 371, 965",SENG KANG,CO-ED SCHOOL,SECONDARY,"1.3962175753601997,103.899872150641"
256,EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83,738489,WOODLANDS MRT,911,WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.4412208377506501,103.793771501303"
257,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD,227988,Newton MRT Station,"5, 54 , 124 , 128 , 143 ,162 , 162M , 167 , 171 , 700 and 700A.",CENTRAL,BOYS' SCHOOL,PRIMARY,"1.30932129669281,103.84064350573799"
258,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH,319765,Toa Payoh,"59, 231, 141",TOA PAYOH,GIRLS' SCHOOL,PRIMARY,"1.3328181527966798,103.84191837650101"
259,CHIJ (KELLOCK),121 QUEENSWAY,149059,Commonwealth Station,"32,93,100,105,111,122,123,145,147,153, 186,195,196,198,855,961,970",BUKIT MERAH,GIRLS' SCHOOL,PRIMARY,"1.30205082145356,103.80026460737899"
260,CHIJ OUR LADY OF THE NATIVITY,1257 UPPER SERANGOON ROAD,534793,Hougang MRT,"74, 136, 147, 102, 112, 113, 119, 136",HOUGANG,GIRLS' SCHOOL,PRIMARY,"1.37317401669512,103.89765938461599"
261,DE LA SALLE SCHOOL,11 CHOA CHU KANG ST 52,689285,YEW TEE MRT,"TIBS 302, 979",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.39507191622879,103.74344364425899"
262,ST. ANDREW'S JUNIOR SCHOOL,2 FRANCIS THOMAS DRIVE,359337,"Potong Pasir,Toa Payoh","8,13,26,31,90,90A,107,133,142,147,853, NR6",TOA PAYOH,BOYS' SCHOOL,PRIMARY,"1.33138913071752,103.865128939008"
263,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,Bedok MRT,17,BEDOK,GIRLS' SCHOOL,PRIMARY,"1.33480685527669,103.94120887395901"
264,ST. GABRIEL'S PRIMARY SCHOOL,220 LORONG CHUAN,556742,Lor Chuan MRT Station (Circle Line),"73, 105, 105A, 159",SERANGOON,BOYS' SCHOOL,PRIMARY,"1.3492460337287,103.862332032728"
265,ST. MARGARET'S PRIMARY SCHOOL,99 WILKIE ROAD,228091,"Dhoby Ghuat, Little India (NEL)","64, 65, 65M, 85, 97, 103, 111, 131, 139",CENTRAL,GIRLS' SCHOOL,PRIMARY,"1.30414407358334,103.84582026643801"
266,ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD,309331,Novena,21;54;56;57;124;131;166;518;851,NOVENA,BOYS' SCHOOL,PRIMARY,"1.31770225320333,103.845670081922"
267,ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW,455789,Kembangan MRT Station,"2,7,24,25,26,28,30,32,33,67,854",BEDOK,BOYS' SCHOOL,PRIMARY,"1.31881620631886,103.917526142651"
268,CHIJ OUR LADY OF GOOD COUNSEL,2C BURGHLEY DRIVE,558979,"Ang Mo Kio MRT, Bishan MRT, Serangoon MRT station.","317 Feeder Bus Service from Serangoon Interchange. 135,136 from Ang Mo Kio Interchange.",SERANGOON,GIRLS' SCHOOL,PRIMARY,"1.35795142682271,103.86425016247"
269,MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",HOUGANG,BOYS' SCHOOL,PRIMARY,"1.3739376385081699,103.88969080771099"
270,CHIJ OUR LADY QUEEN OF PEACE,4 CHESTNUT DRIVE,679287,"Bukit Batok, Cashew, Hillview, Bukit Panjang","180, 67, 171, 176, 177, 178, 184, 961, 963, 970",BUKIT PANJANG,GIRLS' SCHOOL,PRIMARY,"1.36675801448843,103.767694820161"
271,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD,139648,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",QUEENSTOWN,CO-ED SCHOOL,PRIMARY,"1.30828686640692,103.777022353741"
272,GEYLANG METHODIST SCHOOL (PRIMARY),4 GEYLANG EAST CENTRAL,389706,Aljunied,"80, 134, 155",GEYLANG,CO-ED SCHOOL,PRIMARY,"1.3175927496930402,103.883892989147"
273,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13,579793,Bishan MRT Station,"76, 132, 165, 166, 169, 265, 268, 269",BISHAN,CO-ED SCHOOL,PRIMARY,"1.34911457448237,103.854447658027"
